Date,Time,Location,Store,Address,lon,lat
22 May,0000h to 0400h,The Woodgrove,McDonald's,30 Woodlands Avenue 1,103.781337285958,1.42933633490183
22 May,0740h to 2000h,West Mall,Subway,1 Bukit Batok Central Link,103.749021976618,1.35018916560505
22 May,0830h to 0930h,Fu Nan Traditional Chinese Medicine Centre,,152 Bukit Batok Street 11,103.744257268105,1.34830189530173
22 May,1220h to 1300h,Hup Choon Eating House,,1 Binjai Park,103.786493273519,1.33583983703734
22 May,1230h to 1300h,NTUC FairPrice,,1 Jalan Bukit Merah,103.808286977232,1.28644157642074
22 May,1240h to 1310h,NTUC FairPrice,,1 Jalan Bukit Merah,103.808286977232,1.28644157642074
22 May,1320h to 1530h,NTUC FairPrice,,301 Yishun Avenue 2,103.835058273602,1.42951728655036
22 May,1435h to 1510h,Sunshine Place,Giant Supermarket,475 Choa Chu Kang Avenue 3,103.738931794069,1.37805614752084
22 May,1500h to 2100h,Westgate,Pizza Hut,3 Gateway Drive,103.742722109979,1.33429478930696
22 May,1320h to 1530h,NTUC FairPrice,,301 Yishun Avenue 2,103.835058273602,1.42951728655036
22 May,1515h to 1620h,Joo Chiat Complex,,1 Joo Chiat Road,103.898397565472,1.31593802099833
22 May,1520h to 1625h,Mustafa Centre,,145 Syed Alwi Road,103.855002052529,1.31053493112423
22 May,1530h to 1630h,Bukit Timah Plaza,FairPrice Finest,1 Jalan Anak Bukit,103.778560467143,1.33865677622928
22 May,1605h to 1700h,KINEX,Eccellente by HAO Mart,11 Tanjong Katong Road,103.894755701595,1.31426620953983
22 May,1620h to 1655h,Le Quest Mall,FairPrice Finest,4 Bukit Batok Street 41,103.741127005764,1.35594171176111
22 May,1705h to 1740h,Lucky Plaza,,304 Orchard Road,103.834005158524,1.3044637897474
22 May,1710h to 1800h,Hafary Pte Ltd,,560 Balestier Road,103.844652596814,1.32697917569246
22 May,1730h to 1800h,Bukit Timah Plaza,FairPrice Finest,1 Jalan Anak Bukit,103.778560467143,1.33865677622928
22 May,1900h to 2015h,Lemongrass,,476 Upper Serangoon View,103.903713550367,1.37743337773734
22 May,2315h to 2345h,Sheng Siong Supermarket,,202 Marsiling Drive,103.775164777049,1.44315121142693
23 May,0815h to 0920h,Sheng Siong Supermarket,,108 McNair Road,103.859382719506,1.3216190383169
23 May,1100h to 1225h,Jurong Point,,1 Jurong West Central 2,103.706685012654,1.33945200436318
