Date,Time,Location,Store,Address
13 to 21 May,0800h to 2200h,Westgate,,3 Gateway Drive
13 May,0820h to 0920h,JEM,,50 Jurong Gateway Road
13 May,0830h to 0900h,JEM,Toast Box,50 Jurong Gateway Road
13 May,0845h to 0915h,Bukit Batok Blk 371 Coffeeshop,,371 Bukit Batok Street 31
13 May,0900h to 0930h,Thomson Plaza,Koufu,301 Upper Thomson Road
13 May,0910h to 1545h,Burger King,,11 Bedok North Street 1
13 May,1000h to 1030h,Thomson Plaza,FairPrice Finest,301 Upper Thomson Road
13 May,1000h to 1400h,The Seletar Mall,,33 Sengkang West Avenue
13 May,1000h to 2030h,Toast & Curry,,43 Siloso Beach Walk
13 May,1100h to 1600h,Westgate,Pizza Hut,3 Gateway Drive
13 May,1115h to 1150h,Selera Restaurant,,15 Mackenzie Road
13 May,1155h to 1225h,The Shoppes at Marina Bay Sands,ZARA,10 Bayfront Avenue
13 May,1230h to 1330h,Eunos Food Station,,2A Eunos Crescent
13 May,1230h to 1600h,Marina Bay Sands,Lavo Italian Restaurant And Rooftop Bar,10 Bayfront Avenue
13 May,1305h to 1405h,Woods Square,Saizeriya,6 Woodlands Square
13 May,1325h to 1355h,JEM,,50 Jurong Gateway Road
13 May,1325h to 1400h,ION Orchard,Steinway & Sons,2 Orchard Turn
13 May,1345h to 1445h,JEM,Cookhouse by Koufu,50 Jurong Gateway Road
13 May,1400h to 1500h,HDB Hub,Bowl & Bowl,480 Lorong 6 Toa Payoh
13 May,1420h to 1500h,Sun Plaza,Dunkin' Donuts,30 Sembawang Drive
13 May,1520h to 1600h,Westgate,Harvey Norman,3 Gateway Drive
13 May,1545h to 1845h,Chong Yee Temple,,72 Sengkang West Avenue
13 May,1600h to 1640h,Peninsula Plaza,,111 North Bridge Road
13 May,1620h to 1715h,U Stars Supermarket,,829 Tampines Street 81
13 May,1620h to 2000h,JEM,"IKEA Jurong ,  H&M,  Cotton On Kids,  Pizzakaya",50 Jurong Gateway Road
13 May,1700h to 1740h,Millenia Walk,Meidi-Ya Supermarket,9 Raffles Boulevard
13 May,1710h to 1830h,Causeway Point,,1 Woodlands Square
13 May,1725h to 1825h,Causeway Point,Metro Department Store,1 Woodlands Square
13 May,1815h to 0600h,Sheng Siong Supermarket,,440 Bukit Batok West Avenue 8
13 May,1825h to 2030h,Woods Square,Sanook Kitchen,6 Woodlands Square
13 May,1830h to 1930h,Suntec City,Una Una,3 Temasek Boulevard
13 May,1830h to 1930h,G7 Sin Ma Live Bull Frog Claypot Porridge,,5 Cheong Chin Nam Road
13 May,1850h to 1945h,Our Tampines Hub,Timezone,1 Tampines Walk
13 May,1900h to 2000h,SHU Vegetarian,,259 Jalan Kayu
13 May,1930h to 2000h,Suntec City,Yenly Yours Desserts,3 Temasek Boulevard
13 May,1940h to 2040h,Bukit Timah Plaza,NTUC FairPrice Finest,1 Jalan Anak Bukit
13 May,2005h to 2055h,JEM,XW Western Grill,50 Jurong Gateway Road
13 May,2030h to 2200h,Kimly Coffeeshop,,444 Pasir Ris Drive 6
13 to 14 May,2030h to 0600h,Sheng Siong Supermarket,,440 Bukit Batok West Avenue 8
13 May,2140h to 2220h,NTUC FairPrice,,152B Serangoon North Avenue 1
13 to 14 May,2230h to 0730h,Marina Bay Sands Casino,,10 Bayfront Avenue
14 May,0030h to 0200h,Rochor Beancurd House,,745 Geylang Road
14 May,0810h to 0910h,Marsiling MRT Station,NTUC FairPrice,71 Woodlands Avenue 3
